,2017 Pop,2017 Unmarried Women,High School Graduate,Unemployment,Percent Under the Poverty lavel,Mean Income,Sex Ratio,Mean Age,zip code tabulation area
307,4380,66.7,29.7,2.8,5.2,105706,110.8,44.8,03037
308,6835,11.0,25.8,3.5,5.1,90533,99.6,40.4,03042
309,4498,0.0,27.1,5.6,2.8,114122,100.1,46.0,03044
310,7779,0.0,15.0,5.5,1.9,160800,106.5,49.1,03049
311,27343,25.6,20.6,4.3,4.4,105397,92.2,43.9,03062
312,3760,0.0,32.0,2.9,3.4,93840,109.8,45.2,03086
313,22019,0.0,15.2,3.4,1.8,156011,94.6,44.1,03110
314,3709,44.0,31.2,5.4,4.9,83338,94.8,40.9,03225
315,4312,46.7,29.9,5.4,8.5,96996,105.7,42.3,03261
316,1130,0.0,35.2,3.0,3.1,108070,110.0,49.8,03268
317,21,-666666666.0,76.2,0.0,0.0,-999999999,31.3,72.0,03291
318,1861,0.0,15.4,3.7,4.5,107661,95.3,51.6,03449
319,6790,89.3,16.3,4.3,6.7,109078,94.6,52.1,03458
320,11412,33.8,13.4,3.1,1.8,151826,94.6,45.7,03031
321,33617,23.3,33.2,6.7,6.9,84101,102.2,40.2,03038
322,31841,41.2,32.4,5.9,16.4,63852,98.7,34.8,03102
323,13955,19.5,28.4,4.4,6.7,97995,90.8,42.7,03045
324,13987,20.3,24.5,4.5,4.3,97167,92.6,40.9,03106
325,5614,21.7,20.6,3.8,3.8,113886,98.8,48.1,03229
326,946,100.0,38.8,2.9,6.8,78754,103.9,52.7,03243
327,4058,100.0,38.6,8.5,15.4,65493,94.3,39.1,03263
328,1479,-666666666.0,34.5,6.3,5.3,89717,104.6,50.3,03444
329,714,-666666666.0,34.6,9.0,10.8,68839,109.4,49.1,03448
330,1093,20.0,28.4,2.7,4.8,87490,91.1,47.6,03464
331,1361,-666666666.0,33.6,2.2,1.0,100843,88.5,56.1,03466
332,2623,0.0,20.7,3.2,1.8,99297,107.8,48.1,03608
333,564,-666666666.0,54.5,0.0,3.9,58248,80.8,47.9,03765
334,7611,33.3,37.2,3.6,8.7,73187,94.5,44.7,03773
335,1336,54.8,28.0,10.3,8.0,68350,93.6,49.1,03816
336,2205,57.4,27.1,6.3,6.5,68430,121.6,38.8,03830
337,8607,80.2,39.9,4.7,14.5,57759,94.7,44.4,03235
338,2082,-666666666.0,36.1,5.9,6.1,82791,99.4,46.1,03237
339,926,0.0,34.9,5.2,7.5,66759,87.1,49.5,03262
340,7152,44.0,34.8,6.4,18.7,67466,105.6,23.0,03264
341,2319,62.0,38.4,3.0,12.8,70768,94.7,49.3,03266
342,2882,75.0,22.5,1.3,6.8,94527,95.4,46.5,03278
343,822,31.6,34.4,1.8,10.4,81389,96.2,51.1,03282
344,1411,0.0,37.7,3.3,4.3,72571,114.8,38.8,03442
345,2545,52.4,25.7,4.4,12.3,68050,94.0,49.9,03574
346,3003,100.0,34.5,4.1,14.9,60900,100.6,51.3,03576
347,3726,36.8,40.2,4.7,8.0,61782,104.5,44.1,03584
348,1578,0.0,40.3,4.1,9.6,61927,111.5,49.7,03588
349,2749,45.8,34.2,2.6,14.7,77682,95.5,45.1,03602
350,22463,30.2,16.5,2.6,6.7,100011,100.7,41.4,03801
351,1882,0.0,18.9,9.3,0.0,96011,107.3,56.6,03810
352,21679,5.2,21.7,3.8,5.0,112158,91.0,46.0,03833
353,6373,0.0,19.8,4.4,8.0,111003,99.0,44.8,03841
354,2332,-666666666.0,18.6,1.8,5.8,182177,107.8,48.3,03844
355,4428,0.0,18.4,2.6,4.2,168840,86.3,50.3,03862
356,98,-666666666.0,73.8,0.0,0.0,37242,84.9,53.8,03883
357,16326,3.7,23.1,4.1,7.2,93985,95.2,39.6,03063
358,25566,14.4,23.3,4.8,5.0,109459,103.8,42.5,03054
