ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,County
,Number of Offenses,,1,1,0,10,12,198,9,Passic
,"Rate Per 100,000",,9.4,9.4,0,93.8,112.5,"1,856.4",84.4,Passic
,Number of Clearances,,1,1,0,7,2,56,2,Passic
,Percent Cleared,,100,100,0,70,17,28,22,Passic
,Number of Arrests,,1,1,0,7,1,48,1,Passic
NJ0161300,WANAQUE BORO PD,11960,,,,,,,,Passic
,Number of Offenses,,0,0,2,9,1,70,0,Passic
,"Rate Per 100,000",,0,0,16.7,75.3,8.4,585.3,0,Passic
,Number of Clearances,,0,0,2,3,0,6,0,Passic
,Percent Cleared,,0,0,100,33,0,9,0,Passic
,Number of Arrests,,0,0,2,11,0,7,0,Passic
NJ0161400,WAYNE PD,54340,,,,,,,,Passic
,Number of Offenses,,0,0,13,51,75,875,36,Passic
,"Rate Per 100,000",,0,0,23.9,93.9,138.0,"1,610.2",66.2,Passic
,Number of Clearances,,0,0,9,37,11,296,0,Passic
,Percent Cleared,,0,0,69,73,15,34,0,Passic
,Number of Arrests,,0,1,14,14,19,346,0,Passic
NJ0161500,WEST MILFORD PD,26560,,,,,,,,Passic
,Number of Offenses,,0,2,0,8,23,127,8,Passic
,"Rate Per 100,000",,0,7.5,0,30.1,86.6,478.2,30.1,Passic
,Number of Clearances,,0,0,0,8,3,15,2,Passic
,Percent Cleared,,0,0,0,100,13,12,25,Passic
,Number of Arrests,,0,0,0,8,8,15,2,Passic
NJ0161700,WILLIAM PATERSON UNIVERSITY PD,0,,,,,,,,Passic
,Number of Offenses,,0,1,0,0,8,48,1,Passic
,"Rate Per 100,000",,0,0,0,0,0,0,0,Passic
,Number of Clearances,,0,0,0,0,1,18,1,Passic
,Percent Cleared,,0,0,0,0,13,38,100,Passic
,Number of Arrests,,0,0,0,0,1,2,1,Passic
NJ0161600,WOODLAND PARK BORO PD,12799,,,,,,,,Passic
NJ0171300,CARNEY'S POINT PD,7655,,,,,,,,Salem
,Number of Offenses,,0,4,7,5,23,60,3,Salem
,"Rate Per 100,000",,0,52.3,91.4,65.3,300.5,783.8,39.2,Salem
,Number of Clearances,,0,1,2,5,4,2,0,Salem
,Percent Cleared,,0,25,29,100,17,3,0,Salem
,Number of Arrests,,0,0,5,5,3,2,0,Salem
NJ0170200,ELMER BORO PD,1301,,,,,,,,Salem
,Number of Offenses,,0,0,0,0,0,4,0,Salem
,"Rate Per 100,000",,0,0,0,0,0,307.5,0,Salem
,Number of Clearances,,0,0,0,0,0,2,0,Salem
,Percent Cleared,,0,0,0,0,0,50,0,Salem
,Number of Arrests,,0,0,0,0,0,2,0,Salem
NJ0170300,ELSINBORO TWP PD,968,,,,,,,,Salem
,Number of Offenses,,0,0,0,0,3,5,1,Salem
,"Rate Per 100,000",,0,0,0,0,309.9,516.5,103.3,Salem
,Number of Clearances,,0,0,0,0,2,1,1,Salem
,Percent Cleared,,0,0,0,0,67,20,100,Salem
,Number of Arrests,,0,0,0,0,2,1,0,Salem
NJ0170400,LOWER ALLOWAYS CREEK TWP PD,1676,,,,,,,,Salem
,Number of Offenses,,0,0,0,1,1,6,0,Salem
,"Rate Per 100,000",,0,0,0,59.7,59.7,358.0,0,Salem
,Number of Clearances,,0,0,0,1,1,5,0,Salem
,Percent Cleared,,0,0,0,100,100,83,0,Salem
,Number of Arrests,,0,0,0,1,0,5,0,Salem
NJ0170800,PENNS GROVE PD,4790,,,,,,,,Salem
,Number of Offenses,,3,4,8,18,36,135,9,Salem
,"Rate Per 100,000",,62.6,83.5,167.0,375.8,751.6,"2,818.4",187.9,Salem
,Number of Clearances,,2,3,2,8,7,52,4,Salem
,Percent Cleared,,67,75,25,44,19,39,44,Salem
,Number of Arrests,,4,2,2,8,5,51,2,Salem
NJ0170500,PENNSVILLE PD,12378,,,,,,,,Salem
,Number of Offenses,,0,1,0,5,21,209,6,Salem
,"Rate Per 100,000",,0,8.1,0,40.4,169.7,"1,688.5",48.5,Salem
,Number of Clearances,,0,1,0,5,21,209,6,Salem
,Percent Cleared,,0,100,0,100,100,100,100,Salem
,Number of Arrests,,0,0,1,4,20,60,1,Salem
NJ0178900,SALEM CO PROSECUTOR'S OFFICE,0,,,,,,,,Salem
,Number of Offenses,,0,0,0,0,0,0,0,Salem
,"Rate Per 100,000",,0,0,0,0,0,0,0,Salem
,Number of Clearances,,0,0,0,0,0,0,0,Salem
,Percent Cleared,,0,0,0,0,0,0,0,Salem
,Number of Arrests,,0,0,0,0,0,0,0,Salem
NJ0170000,SALEM CO SHERIFF'S DEPT,0,,,,,,,,Salem
,Number of Offenses,,0,0,0,0,0,0,0,Salem
,"Rate Per 100,000",,0,0,0,0,0,0,0,Salem
,Number of Clearances,,0,0,0,0,0,0,0,Salem
,Percent Cleared,,0,0,0,0,0,0,0,Salem
,Number of Arrests,,0,0,0,0,0,0,0,Salem
NJ0171200,SALEM PD,4726,,,,,,,,Salem
,Number of Offenses,,2,2,9,30,75,129,17,Salem
,"Rate Per 100,000",,42.3,42.3,190.4,634.8,"1,587.0","2,729.6",359.7,Salem
,Number of Clearances,,0,1,1,11,10,24,2,Salem
,Percent Cleared,,0,50,11,37,13,19,12,Salem
,Number of Arrests,,0,1,1,10,10,22,4,Salem
NJ017SP,STATE POLICE SALEM COUNTY,,,,,,,,,Salem
,Number of Offenses,,0,0,4,9,64,151,16,Salem
,"Rate Per 100,000",,0,0,0,0,0,0,0,Salem
,Number of Clearances,,0,0,0,6,26,75,4,Salem
,Percent Cleared,,0,0,0,67,41,50,25,Salem
,Number of Arrests,,0,0,3,4,22,24,3,Salem
NJ0171500,WOODSTOWN BORO PD,3447,,,,,,,,Salem
NJ0180100,BEDMINSTER TWP PD,8126,,,,,,,,Somerset
,Number of Offenses,,0,0,1,0,5,26,3,Somerset
,"Rate Per 100,000",,0,0,12.3,0,61.5,320.0,36.9,Somerset
,Number of Clearances,,0,0,1,0,1,4,0,Somerset
,Percent Cleared,,0,0,100,0,20,15,0,Somerset
,Number of Arrests,,0,0,1,0,1,2,0,Somerset
NJ0180200,BERNARDS TWP PD,26813,,,,,,,,Somerset
,Number of Offenses,,0,0,1,1,13,66,8,Somerset
,"Rate Per 100,000",,0,0,3.7,3.7,48.5,246.1,29.8,Somerset
,Number of Clearances,,0,0,1,1,1,2,0,Somerset
,Percent Cleared,,0,0,100,100,8,3,0,Somerset
,Number of Arrests,,0,0,2,1,1,3,1,Somerset
NJ0180300,BERNARDSVILLE PD,7742,,,,,,,,Somerset
,Number of Offenses,,0,0,0,1,2,36,1,Somerset
,"Rate Per 100,000",,0,0,0,12.9,25.8,465.0,12.9,Somerset
,Number of Clearances,,0,0,0,0,0,2,0,Somerset
,Percent Cleared,,0,0,0,0,0,6,0,Somerset
,Number of Arrests,,0,0,0,1,0,1,0,Somerset
NJ0180400,BOUND BROOK PD,10360,,,,,,,,Somerset
,Number of Offenses,,0,2,9,2,33,75,6,Somerset
,"Rate Per 100,000",,0,19.3,86.9,19.3,318.5,723.9,57.9,Somerset
,Number of Clearances,,0,1,1,1,1,12,0,Somerset
,Percent Cleared,,0,50,11,50,3,16,0,Somerset
,Number of Arrests,,0,1,1,1,1,12,0,Somerset
NJ0180500,BRANCHBURG TWP PD,14577,,,,,,,,Somerset
,Number of Offenses,,0,2,0,2,5,70,5,Somerset
,"Rate Per 100,000",,0,13.7,0,13.7,34.3,480.2,34.3,Somerset
,Number of Clearances,,0,1,0,2,2,12,1,Somerset
,Percent Cleared,,0,50,0,100,40,17,20,Somerset
,Number of Arrests,,0,1,0,2,0,1,0,Somerset
NJ0180600,BRIDGEWATER TWP PD,45050,,,,,,,,Somerset
,Number of Offenses,,0,0,9,7,53,265,13,Somerset
,"Rate Per 100,000",,0,0,20.0,15.5,117.6,588.2,28.9,Somerset
,Number of Clearances,,0,0,2,5,3,94,1,Somerset
,Percent Cleared,,0,0,22,71,6,35,8,Somerset
,Number of Arrests,,0,0,2,4,4,115,2,Somerset
NJ0180700,FAR HILLS PD,918,,,,,,,,Somerset
,Number of Offenses,,0,1,0,0,1,4,1,Somerset
,"Rate Per 100,000",,0,108.9,0,0,108.9,435.7,108.9,Somerset
,Number of Clearances,,0,0,0,0,0,0,0,Somerset
,Percent Cleared,,0,0,0,0,0,0,0,Somerset
,Number of Arrests,,0,0,0,0,0,0,0,Somerset
NJ0180800,FRANKLIN TWP PD,66624,,,,,,,,Somerset
,Number of Offenses,,1,12,17,18,114,504,52,Somerset
,"Rate Per 100,000",,1.5,18.0,25.5,27.0,171.1,756.5,78.1,Somerset
,Number of Clearances,,1,2,5,10,3,14,1,Somerset
,Percent Cleared,,100,17,29,56,3,3,2,Somerset
,Number of Arrests,,0,1,3,9,5,31,1,Somerset
NJ0180900,GREEN BROOK PD,7138,,,,,,,,Somerset
,Number of Offenses,,0,0,2,8,21,61,12,Somerset
,"Rate Per 100,000",,0,0,28.0,112.1,294.2,854.6,168.1,Somerset
,Number of Clearances,,0,0,2,7,2,5,0,Somerset
,Percent Cleared,,0,0,100,88,10,8,0,Somerset
,Number of Arrests,,0,0,3,3,2,6,0,Somerset
NJ0181000,HILLSBOROUGH TWP PD,39796,,,,,,,,Somerset
,Number of Offenses,,0,6,1,8,46,190,4,Somerset
,"Rate Per 100,000",,0,15.1,2.5,20.1,115.6,477.4,10.1,Somerset
,Number of Clearances,,0,0,1,2,1,43,0,Somerset
,Percent Cleared,,0,0,100,25,2,23,0,Somerset
,Number of Arrests,,0,1,0,2,5,63,0,Somerset
NJ0181100,MANVILLE PD,10308,,,,,,,,Somerset
,Number of Offenses,,0,6,3,9,10,191,13,Somerset
,"Rate Per 100,000",,0,58.2,29.1,87.3,97.0,"1,852.9",126.1,Somerset
,Number of Clearances,,0,2,1,6,0,74,0,Somerset
,Percent Cleared,,0,33,33,67,0,39,0,Somerset
,Number of Arrests,,0,2,1,4,0,72,0,Somerset
NJ0181300,MONTGOMERY TWP PD,23515,,,,,,,,Somerset
,Number of Offenses,,0,0,0,7,43,50,4,Somerset
,"Rate Per 100,000",,0,0,0,29.8,182.9,212.6,17.0,Somerset
,Number of Clearances,,0,0,0,0,1,1,1,Somerset
,Percent Cleared,,0,0,0,0,2,2,25,Somerset
,Number of Arrests,,0,0,0,16,1,9,0,Somerset
NJ0181400,NORTH PLAINFIELD PD,21834,,,,,,,,Somerset
,Number of Offenses,,1,7,18,13,54,272,12,Somerset
,"Rate Per 100,000",,4.6,32.1,82.4,59.5,247.3,"1,245.8",55.0,Somerset
,Number of Clearances,,1,3,5,16,8,42,0,Somerset
,Percent Cleared,,100,43,28,123,15,15,0,Somerset
,Number of Arrests,,1,3,5,9,6,32,0,Somerset
NJ0181600,RARITAN PD,8098,,,,,,,,Somerset
,Number of Offenses,,0,0,0,1,5,54,0,Somerset
,"Rate Per 100,000",,0,0,0,12.3,61.7,666.8,0,Somerset
,Number of Clearances,,0,0,1,2,1,5,0,Somerset
,Percent Cleared,,0,0,0,200,20,9,0,Somerset
,Number of Arrests,,0,0,1,2,1,5,0,Somerset
NJ0188900,SOMERSET CO PROSECUTOR'S OFFICE,0,,,,,,,,Somerset
,Number of Offenses,,0,0,0,0,0,0,0,Somerset
,"Rate Per 100,000",,0,0,0,0,0,0,0,Somerset
,Number of Clearances,,0,0,0,0,0,0,0,Somerset
,Percent Cleared,,0,0,0,0,0,0,0,Somerset
,Number of Arrests,,0,0,0,0,0,0,0,Somerset
NJ0180000,SOMERSET CO SHERIFF'S DEPT,0,,,,,,,,Somerset
,Number of Offenses,,0,0,0,0,0,0,0,Somerset
,"Rate Per 100,000",,0,0,0,0,0,0,0,Somerset
,Number of Clearances,,0,0,0,0,0,0,0,Somerset
,Percent Cleared,,0,0,0,0,0,0,0,Somerset
,Number of Arrests,,0,0,0,0,0,0,0,Somerset
NJ0181800,SOMERVILLE PD,12326,,,,,,,,Somerset
,Number of Offenses,,0,2,5,9,24,101,6,Somerset
,"Rate Per 100,000",,0,16.2,40.6,73.0,194.7,819.4,48.7,Somerset
,Number of Clearances,,0,1,2,8,2,6,0,Somerset
,Percent Cleared,,0,50,40,89,8,6,0,Somerset
,Number of Arrests,,0,1,3,11,4,17,0,Somerset
NJ0181900,SOUTH BOUND BROOK PD,4621,,,,,,,,Somerset
,Number of Offenses,,0,2,1,1,5,21,2,Somerset
,"Rate Per 100,000",,0,43.3,21.6,21.6,108.2,454.4,43.3,Somerset
,Number of Clearances,,0,0,0,1,1,11,1,Somerset
,Percent Cleared,,0,0,0,100,20,52,50,Somerset
,Number of Arrests,,0,0,0,1,2,13,0,Somerset
NJ018SP,STATE POLICE SOMERSET COUNTY,,,,,,,,,Somerset
,Number of Offenses,,0,0,0,0,1,3,0,Somerset
,"Rate Per 100,000",,0,0,0,0,0,0,0,Somerset
,Number of Clearances,,0,0,0,0,0,1,0,Somerset
,Percent Cleared,,0,0,0,0,0,33,0,Somerset
,Number of Arrests,,0,0,0,0,0,0,0,Somerset
NJ0182000,WARREN TWP PD,15951,,,,,,,,Somerset
,Number of Offenses,,0,1,1,1,10,28,14,Somerset
,"Rate Per 100,000",,0,6.3,6.3,6.3,62.7,175.5,87.8,Somerset
,Number of Clearances,,0,1,1,1,2,4,1,Somerset
,Percent Cleared,,0,100,100,100,20,14,7,Somerset
,Number of Arrests,,0,1,1,2,3,8,0,Somerset
NJ0182100,WATCHUNG PD,5939,,,,,,,,Somerset
NJ0190200,ANDOVER TWP PD,5936,,,,,,,,Sussex
,Number of Offenses,,0,0,0,2,4,9,1,Sussex
,"Rate Per 100,000",,0,0,0,33.7,67.4,151.6,16.8,Sussex
,Number of Clearances,,0,0,0,2,2,0,0,Sussex
,Percent Cleared,,0,0,0,100,50,0,0,Sussex
,Number of Arrests,,0,0,0,1,2,0,0,Sussex
NJ0190400,BYRAM TWP PD,7925,,,,,,,,Sussex
,Number of Offenses,,0,1,0,2,4,40,1,Sussex
,"Rate Per 100,000",,0,12.6,0,25.2,50.5,504.7,12.6,Sussex
,Number of Clearances,,0,1,0,2,0,7,0,Sussex
,Percent Cleared,,0,100,0,100,0,18,0,Sussex
,Number of Arrests,,0,0,0,2,1,11,1,Sussex
NJ0190600,FRANKLIN BORO PD,4735,,,,,,,,Sussex
,Number of Offenses,,1,3,0,1,1,36,0,Sussex
,"Rate Per 100,000",,21.1,63.4,0,21.1,21.1,760.3,0,Sussex
,Number of Clearances,,1,3,0,1,0,8,0,Sussex
,Percent Cleared,,100,100,0,100,0,22,0,Sussex
,Number of Arrests,,1,2,0,1,1,9,1,Sussex
NJ0190900,HAMBURG PD,3109,,,,,,,,Sussex
,Number of Offenses,,0,0,0,1,1,10,0,Sussex
,"Rate Per 100,000",,0,0,0,32.2,32.2,321.6,0,Sussex
,Number of Clearances,,0,0,0,0,0,0,0,Sussex
,Percent Cleared,,0,0,0,0,0,0,0,Sussex
,Number of Arrests,,0,0,0,0,0,0,0,Sussex
NJ0191100,HARDYSTON TWP POLICE DEPT,7823,,,,,,,,Sussex
,Number of Offenses,,0,1,0,6,9,27,2,Sussex
,"Rate Per 100,000",,0,12.8,0,76.7,115.0,345.1,25.6,Sussex
,Number of Clearances,,0,0,0,5,6,1,0,Sussex
,Percent Cleared,,0,0,0,83,67,4,0,Sussex
,Number of Arrests,,0,0,0,5,6,1,0,Sussex
NJ0191200,HOPATCONG PD,14183,,,,,,,,Sussex
,Number of Offenses,,0,0,0,6,3,33,6,Sussex
,"Rate Per 100,000",,0,0,0,42.3,21.2,232.7,42.3,Sussex
,Number of Clearances,,0,0,0,6,1,6,3,Sussex
,Percent Cleared,,0,0,0,100,33,18,50,Sussex
,Number of Arrests,,0,0,0,8,5,7,0,Sussex
NJ0191500,NEWTON PD,7824,,,,,,,,Sussex
,Number of Offenses,,0,0,1,10,8,72,1,Sussex
,"Rate Per 100,000",,0,0,12.8,127.8,102.2,920.2,12.8,Sussex
,Number of Clearances,,0,0,0,8,2,38,0,Sussex
,Percent Cleared,,0,0,0,80,25,53,0,Sussex
,Number of Arrests,,0,0,0,8,3,40,0,Sussex
NJ0191600,OGDENSBURG PD,2262,,,,,,,,Sussex
,Number of Offenses,,0,1,0,0,0,2,1,Sussex
,"Rate Per 100,000",,0,44.2,0,0,0,88.4,44.2,Sussex
,Number of Clearances,,0,0,0,0,0,0,0,Sussex
,Percent Cleared,,0,0,0,0,0,0,0,Sussex
,Number of Arrests,,0,0,0,0,0,0,0,Sussex
NJ0191800,SPARTA PD,18694,,,,,,,,Sussex
,Number of Offenses,,0,0,1,4,6,41,7,Sussex
,"Rate Per 100,000",,0,0,5.3,21.4,32.1,219.3,37.4,Sussex
,Number of Clearances,,0,0,0,4,2,6,3,Sussex
,Percent Cleared,,0,0,0,100,33,15,43,Sussex
,Number of Arrests,,0,0,0,3,1,3,3,Sussex
NJ0191900,STANHOPE PD,3306,,,,,,,,Sussex
,Number of Offenses,,0,0,1,1,0,17,1,Sussex
,"Rate Per 100,000",,0,0,30.2,30.2,0,514.2,30.2,Sussex
,Number of Clearances,,0,0,0,0,0,4,0,Sussex
,Percent Cleared,,0,0,0,0,0,24,0,Sussex
,Number of Arrests,,0,0,0,0,0,4,0,Sussex
NJ019SP,STATE POLICE SUSSEX COUNTY,,,,,,,,,Sussex
,Number of Offenses,,0,5,1,13,42,147,2,Sussex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Sussex
,Number of Clearances,,0,1,0,11,6,36,0,Sussex
,Percent Cleared,,0,20,0,85,14,24,0,Sussex
,Number of Arrests,,0,0,1,6,8,27,0,Sussex
NJ0198900,SUSSEX CO PROSECUTOR'S OFFICE,0,,,,,,,,Sussex
,Number of Offenses,,0,0,0,0,0,0,0,Sussex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Sussex
,Number of Clearances,,0,0,0,0,0,0,0,Sussex
,Percent Cleared,,0,0,0,0,0,0,0,Sussex
,Number of Arrests,,0,0,0,0,0,1,0,Sussex
NJ0190000,SUSSEX CO SHERIFF'S DEPT,0,,,,,,,,Sussex
,Number of Offenses,,0,0,0,0,0,0,0,Sussex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Sussex
,Number of Clearances,,0,0,0,0,0,0,0,Sussex
,Percent Cleared,,0,0,0,0,0,0,0,Sussex
,Number of Arrests,,0,0,0,0,0,0,0,Sussex
NJ0192200,VERNON TWP PD,22057,,,,,,,,Sussex
NJ0200100,BERKELEY HEIGHTS PD,13646,,,,,,,,Union
,Number of Offenses,,0,1,0,3,14,38,8,Union
,"Rate Per 100,000",,0,7.3,0,22.0,102.6,278.5,58.6,Union
,Number of Clearances,,0,1,0,1,0,3,0,Union
,Percent Cleared,,0,100,0,33,0,8,0,Union
,Number of Arrests,,0,0,0,2,1,2,0,Union
NJ0200200,CLARK PD,16079,,,,,,,,Union
,Number of Offenses,,0,0,2,2,7,213,7,Union
,"Rate Per 100,000",,0,0,12.4,12.4,43.5,"1,324.7",43.5,Union
,Number of Clearances,,0,0,0,2,1,70,1,Union
,Percent Cleared,,0,0,0,100,14,33,14,Union
,Number of Arrests,,0,0,0,3,1,73,0,Union
NJ0200300,CRANFORD PD,24353,,,,,,,,Union
,Number of Offenses,,0,0,2,5,7,131,7,Union
,"Rate Per 100,000",,0,0,8.2,20.5,28.7,537.9,28.7,Union
,Number of Clearances,,0,0,2,2,1,4,1,Union
,Percent Cleared,,0,0,100,40,14,3,14,Union
,Number of Arrests,,0,0,3,6,2,8,0,Union
NJ0200400,ELIZABETH PD,129080,,,,,,,,Union
,Number of Offenses,,3,43,386,465,602,2655,745,Union
,"Rate Per 100,000",,2.3,33.3,299.0,360.2,466.4,"2,056.9",577.2,Union
,Number of Clearances,,3,8,41,155,41,327,2,Union
,Percent Cleared,,100,19,11,33,7,12,0,Union
,Number of Arrests,,4,5,58,165,48,386,3,Union
NJ0200500,FANWOOD PD,7768,,,,,,,,Union
,Number of Offenses,,0,0,1,0,7,25,0,Union
,"Rate Per 100,000",,0,0,12.9,0,90.1,321.8,0,Union
,Number of Clearances,,0,0,0,0,0,0,0,Union
,Percent Cleared,,0,0,0,0,0,0,0,Union
,Number of Arrests,,0,0,0,0,0,3,0,Union
NJ0200600,GARWOOD PD,4370,,,,,,,,Union
,Number of Offenses,,0,0,0,1,5,26,1,Union
,"Rate Per 100,000",,0,0,0,22.9,114.4,595.0,22.9,Union
,Number of Clearances,,0,0,0,1,1,3,1,Union
,Percent Cleared,,0,0,0,100,20,12,100,Union
,Number of Arrests,,0,0,0,1,1,3,1,Union
NJ0200700,HILLSIDE PD,22078,,,,,,,,Union
,Number of Offenses,,0,2,22,17,72,372,96,Union
,"Rate Per 100,000",,0,9.1,99.6,77.0,326.1,"1,684.9",434.8,Union
,Number of Clearances,,0,0,3,1,4,42,1,Union
,Percent Cleared,,0,0,14,6,6,11,1,Union
,Number of Arrests,,0,0,5,13,12,86,0,Union
NJ0202400,KEAN UNIVERSITY PD,0,,,,,,,,Union
,Number of Offenses,,0,4,1,0,2,54,1,Union
,"Rate Per 100,000",,0,0,0,0,0,0,0,Union
,Number of Clearances,,0,1,0,0,0,4,0,Union
,Percent Cleared,,0,25,0,0,0,7,0,Union
,Number of Arrests,,0,0,0,0,0,0,0,Union
NJ0200800,KENILWORTH PD,8249,,,,,,,,Union
,Number of Offenses,,0,3,2,4,4,99,11,Union
,"Rate Per 100,000",,0,36.4,24.2,48.5,48.5,"1,200.1",133.3,Union
,Number of Clearances,,0,0,0,3,0,10,0,Union
,Percent Cleared,,0,0,0,75,0,10,0,Union
,Number of Arrests,,0,0,0,1,3,4,0,Union
NJ0200900,LINDEN PD,42806,,,,,,,,Union
,Number of Offenses,,1,16,39,66,143,943,40,Union
,"Rate Per 100,000",,2.3,37.4,91.1,154.2,334.1,"2,203.0",93.4,Union
,Number of Clearances,,1,1,9,28,9,114,0,Union
,Percent Cleared,,100,6,23,42,6,12,0,Union
,Number of Arrests,,1,1,9,22,10,140,4,Union
NJ0201000,MOUNTAINSIDE PD,6925,,,,,,,,Union
,Number of Offenses,,0,0,0,2,4,40,9,Union
,"Rate Per 100,000",,0,0,0,28.9,57.8,577.6,130.0,Union
,Number of Clearances,,0,0,0,1,0,27,0,Union
,Percent Cleared,,0,0,0,50,0,68,0,Union
,Number of Arrests,,0,0,0,2,3,5,0,Union
NJ0201100,NEW PROVIDENCE PD,13283,,,,,,,,Union
,Number of Offenses,,0,0,0,0,7,53,5,Union
,"Rate Per 100,000",,0,0,0,0,52.7,399.0,37.6,Union
,Number of Clearances,,0,0,0,0,1,1,0,Union
,Percent Cleared,,0,0,0,0,14,2,0,Union
,Number of Arrests,,0,0,0,1,1,0,0,Union
NJ0201200,PLAINFIELD PD,50820,,,,,,,,Union
,Number of Offenses,,5,4,99,87,141,597,82,Union
,"Rate Per 100,000",,9.8,7.9,194.8,171.2,277.4,"1,174.7",161.4,Union
,Number of Clearances,,1,0,9,40,11,39,1,Union
,Percent Cleared,,20,0,9,46,8,7,1,Union
,Number of Arrests,,1,0,11,39,16,41,1,Union
NJ0201300,RAHWAY PD,30113,,,,,,,,Union
,Number of Offenses,,0,4,9,21,44,163,38,Union
,"Rate Per 100,000",,0,13.3,29.9,69.7,146.1,541.3,126.2,Union
,Number of Clearances,,0,2,3,16,6,15,1,Union
,Percent Cleared,,0,50,33,76,14,9,3,Union
,Number of Arrests,,0,2,6,18,9,25,1,Union
NJ0201500,ROSELLE PARK PD,13698,,,,,,,,Union
,Number of Offenses,,0,0,4,1,6,91,7,Union
,"Rate Per 100,000",,0,0,29.2,7.3,43.8,664.3,51.1,Union
,Number of Clearances,,0,0,1,1,0,11,0,Union
,Percent Cleared,,0,0,25,100,0,12,0,Union
,Number of Arrests,,0,0,2,1,0,9,0,Union
NJ0201400,ROSELLE PD,21787,,,,,,,,Union
,Number of Offenses,,0,0,14,31,53,203,25,Union
,"Rate Per 100,000",,0,0,64.3,142.3,243.3,931.7,114.7,Union
,Number of Clearances,,0,0,2,25,7,15,0,Union
,Percent Cleared,,0,0,14,81,13,7,0,Union
,Number of Arrests,,0,0,2,20,9,19,0,Union
NJ0201600,SCOTCH PLAINS PD,24423,,,,,,,,Union
,Number of Offenses,,0,1,2,7,36,127,8,Union
,"Rate Per 100,000",,0,4.1,8.2,28.7,147.4,520.0,32.8,Union
,Number of Clearances,,0,0,0,1,2,8,0,Union
,Percent Cleared,,0,0,0,14,6,6,0,Union
,Number of Arrests,,0,0,0,5,4,2,0,Union
NJ0201700,SPRINGFIELD TWP PD,17762,,,,,,,,Union
,Number of Offenses,,0,0,1,3,22,113,9,Union
,"Rate Per 100,000",,0,0,5.6,16.9,123.9,636.2,50.7,Union
,Number of Clearances,,0,1,2,2,3,25,1,Union
,Percent Cleared,,0,0,200,67,14,22,11,Union
,Number of Arrests,,0,1,3,2,4,34,1,Union
NJ020SP,STATE POLICE UNION COUNTY,,,,,,,,,Union
,Number of Offenses,,0,0,2,2,0,7,0,Union
,"Rate Per 100,000",,0,0,0,0,0,0,0,Union
,Number of Clearances,,0,0,0,1,0,1,0,Union
,Percent Cleared,,0,0,0,50,0,14,0,Union
,Number of Arrests,,0,0,0,0,0,2,0,Union
NJ0201800,SUMMIT PD,22125,,,,,,,,Union
,Number of Offenses,,0,2,5,0,9,120,14,Union
,"Rate Per 100,000",,0,9.0,22.6,0,40.7,542.4,63.3,Union
,Number of Clearances,,0,1,1,0,1,17,2,Union
,Percent Cleared,,0,50,20,0,11,14,14,Union
,Number of Arrests,,0,0,1,0,1,10,1,Union
NJ0209100,UNION CO PD,0,,,,,,,,Union
,Number of Offenses,,0,0,3,17,1,29,0,Union
,"Rate Per 100,000",,0,0,0,0,0,0,0,Union
,Number of Clearances,,0,0,0,12,0,4,0,Union
,Percent Cleared,,0,0,0,71,0,14,0,Union
,Number of Arrests,,0,0,0,21,1,4,0,Union
NJ0208900,UNION CO PROSECUTOR'S OFFICE,0,,,,,,,,Union
,Number of Offenses,,0,0,0,0,0,0,0,Union
,"Rate Per 100,000",,0,0,0,0,0,0,0,Union
,Number of Clearances,,0,0,0,0,0,0,0,Union
,Percent Cleared,,0,0,0,0,0,0,0,Union
,Number of Arrests,,1,0,0,0,0,0,0,Union
NJ0200000,UNION CO SHERIFF'S OFFICE,0,,,,,,,,Union
,Number of Offenses,,0,0,0,0,0,0,0,Union
,"Rate Per 100,000",,0,0,0,0,0,0,0,Union
,Number of Clearances,,0,0,0,0,0,0,0,Union
,Percent Cleared,,0,0,0,0,0,0,0,Union
,Number of Arrests,,0,0,0,0,0,0,0,Union
NJ0201900,UNION TWP PD,58861,,,,,,,,Union
,Number of Offenses,,0,1,24,20,96,767,91,Union
,"Rate Per 100,000",,0,1.7,40.8,34.0,163.1,"1,303.1",154.6,Union
,Number of Clearances,,0,1,11,16,15,337,7,Union
,Percent Cleared,,0,100,46,80,16,44,8,Union
,Number of Arrests,,0,0,13,5,20,202,0,Union
NJ0202000,WESTFIELD PD,30011,,,,,,,,Union
,Number of Offenses,,0,0,2,2,24,167,26,Union
,"Rate Per 100,000",,0,0,6.7,6.7,80.0,556.5,86.6,Union
,Number of Clearances,,0,0,0,0,1,42,1,Union
,Percent Cleared,,0,0,0,0,4,25,4,Union
,Number of Arrests,,0,0,1,2,6,35,4,Union
NJ0202100,WINFIELD PD,1514,,,,,,,,Union
NJ0210200,ALPHA PD,2288,,,,,,,,Union
,Number of Offenses,,0,1,0,0,6,32,0,Warren
,"Rate Per 100,000",,0,43.7,0,0,262.2,"1,398.6",0,Warren
,Number of Clearances,,0,0,0,0,0,3,0,Warren
,Percent Cleared,,0,0,0,0,0,9,0,Warren
,Number of Arrests,,0,0,0,0,0,4,0,Warren
NJ0210300,BELVIDERE PD,2592,,,,,,,,Warren
,Number of Offenses,,0,0,0,1,18,27,2,Warren
